file name; circuit cost;;;;;;;
adder-13;26836;;27676;;-840;;;
adder-16;43432;;44032;;-600;;;-5670
adder-3;576;;576;;0;;;17340
adder-8;7256;;6716;;540;;;
ghz_state-16;151;;151;;0;;;
ghz_state-27;291;;261;;30;;;
ghz_state-5;41;;41;;0;;;
ghz_state-65;1481;;1181;;300;;;
ghz_state-7;61;;61;;0;;;
grover-3;896;;896;;0;;;
grover-4;3477;;3477;;0;;;
grover-5;7960;;7960;;0;;;
grover-6;18423;;18423;;0;;;
grover-7;29810;;31760;;-1950;;;
multiplier-2;5098;;5848;;-750;;;
multiplier-3;19432;;20842;;-1410;;;
multiplier-4;46976;;43856;;3120;;;
qft-16;15316;;13606;;1710;;;
qft-27;55167;;50217;;4950;;;
qft-5;535;;565;;-30;;;
qft-7;1477;;1417;;60;;;
qpe-15;12720;;13530;;-810;;;
qpe-26;44342;;39242;;5100;;;
qpe-4;508;;538;;-30;;;
qpe-6;1062;;1062;;0;;;
shor-3;47454;;46524;;930;;;
w_state-16;450;;360;;90;;;
w_state-27;1104;;624;;480;;;
w_state-5;96;;96;;0;;;
w_state-65;6156;;6126;;30;;;
w_state-7;144;;144;;0;;;
